PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG
bfs_lvish,none,bfsN_work rmat 300000 10.0,chert,chert_1373558168,1,2013-07-11 17:25:17.177926 UTC,9.244893,9.247043,9.263749,Just 6.876790830945566,Just 8.59598853868195,Just 8.262108262108242,9.263749 9.244893 9.247043,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 240000 15.0,chert,chert_1373558168,1,2013-07-11 17:28:46.430156 UTC,6.003187,6.004221,6.004697,Just 10.9375,Just 10.416666666666657,Just 9.844559585492235,6.004221 6.004697 6.003187,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 240000 15.0,chert,chert_1373558168,2,2013-07-11 17:29:01.294883 UTC,3.535929,3.543462,3.606982,Just (-67.3202614379085),Just (-66.88311688311688),Just (-49.36708860759492),3.606982 3.543462 3.535929,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 200000 20.0,chert,chert_1373558168,2,2013-07-11 17:31:14.228023 UTC,3.37789,3.403363,3.412446,Just (-74.80916030534351),Just (-74.04580152671753),Just (-83.20610687022901),3.37789 3.412446 3.403363,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_work grid 171429 25.0,chert,chert_1373558168,4,2013-07-11 17:33:52.726044 UTC,1.849077,2.081715,2.25602,Just (-394.7368421052631),Just (-413.58024691358025),Just (-433.33333333333337),1.849077 2.25602 2.081715,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work grid 545455 1.0,chert,chert_1373558168,2,2013-07-11 17:38:42.802958 UTC,3.996549,4.024245,4.105909,Just (-23.986486486486484),Just (-22.55892255892256),Just (-25.503355704697995),4.024245 4.105909 3.996549,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work rmat 400000 5.0,chert,chert_1373558168,2,2013-07-11 17:42:29.012358 UTC,5.581085,5.581756,5.612822,Just (-35.977337110481585),Just (-34.18079096045196),Just (-38.20224719101125),5.581756 5.581085 5.612822,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work rmat 300000 10.0,chert,chert_1373558168,1,2013-07-11 17:44:32.481989 UTC,9.067809,9.070591,9.072666,Just 7.621951219512198,Just 6.402439024390233,Just 7.012195121951208,9.072666 9.067809 9.070591,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work grid 300000 10.0,chert,chert_1373558168,1,2013-07-11 17:45:44.46437 UTC,5.717825,5.71982,5.723994,Just 9.313725490196077,Just 9.803921568627445,Just 8.333333333333329,5.723994 5.71982 5.717825,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work grid 171429 25.0,chert,chert_1373558168,1,2013-07-11 17:52:07.063981 UTC,5.976525,5.977108,5.999121,Just 10.483870967741922,Just 10.483870967741922,Just 11.199999999999989,5.976525 5.977108 5.999121,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
bfs_lvish,none,bfsN_barrier_work grid 171429 25.0,chert,chert_1373558168,4,2013-07-11 17:52:41.137327 UTC,1.724211,1.810528,1.873302,Just (-446.7741935483871),Just (-386.30136986301363),Just (-385.1351351351351),1.810528 1.873302 1.724211,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
0CFA_lvish,inplace,-t blurN_4,chert,chert_1373558168,3,2013-07-11 16:01:42.189747 UTC,0.182215,0.183978,0.186178,Just (-433.33333333333337),Just (-466.66666666666674),Just (-400.0),0.186178 0.182215 0.183978,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
0CFA_lvish,inplace,-t blurN_6,chert,chert_1373558168,1,2013-07-11 16:01:57.554161 UTC,1.286836,1.291865,1.294568,Just 7.692307692307693,Just 7.692307692307693,Just 7.692307692307693,1.286836 1.291865 1.294568,3,,,,[[]],0.0,,Linux chert.soic.ind,,,master,456d68622503bc964d19e5bb845d84a204281ea7,562,rrnewton pts/0      ,,,
